97, 96, 50
93, 93, 82
78, 91, 95
88, 94, 75
92, 93, 91
45, 99, 98
25, 99, 82
78, 45, 99
28, 81, 99
27, 98, 96
99, 24, 91
5, 72, 99
50, 64, 99
99, 37, 40
99, 22, 25
86, 87, 97
79, 78, 96
83, 93, 87
86, 84, 76
73, 79, 73
94, 31, 95
98, 93, 71
30, 91, 92
81, 60, 93
98, 82, 42
27, 77, 98
74, 96, 70
91, 90, 47
94, 92, 26
94, 92, 24
86, 97, 55
84, 47, 85
98, 50, 71
98, 32, 60
91, 64, 81
87, 38, 95
95, 26, 84
93, 69, 76
69, 81, 72
73, 68, 89
82, 67, 71
73, 97, 66
63, 58, 94
28, 72, 97
60, 28, 97
86, 72, 65
62, 70, 68
62, 91, 67
90, 13, 98
90, 12, 95
64, 77, 64
82, 46, 92
95, 45, 83
55, 59, 98
53, 98, 55
98, 40, 27
98, 25, 37
83, 75, 61
80, 61, 72
86, 11, 95
57, 95, 80
54, 76, 95
50, 74, 89
95, 42, 79
95, 19, 72
91, 53, 67
14, 65, 98
64, 98, 4
44, 89, 67
58, 96, 60
47, 93, 53
96, 39, 58
55, 96, 22
50, 94, 48
91, 60, 63
45, 59, 91
91, 49, 50
53, 91, 44
65, 59, 60
52, 62, 89
53, 49, 89
91, 45, 51
97, 42, 45
97, 33, 34
26, 21, 95
86, 82, 58
74, 58, 82
73, 78, 54
51, 82, 86
75, 45, 82
70, 50, 83
74, 82, 48
63, 83, 48
86, 82, 44
68, 83, 46
80, 51, 66
59, 85, 58
85, 55, 45
83, 52, 55
43, 46, 79
47, 75, 77
69, 78, 57
71, 69, 56
52, 46, 78
42, 45, 76
43, 75, 53
74, 53, 64
73, 54, 69
55, 53, 73
66, 54, 70
54, 64, 64
68, 67, 45
54, 62, 70
61, 42, 68
56, 59, 53
65, 44, 56
49, 48, 47
46, 62, 56
47, 62, 42
54, 61, 45
49, 42, 56
99, 63, 18
17, 42, 96
99, 39, 14
14, 98, 63
97, 10, 51
95, 63, 11
0, 95, 61
33, 97, 14
9, 97, 12
99, 53, 8
7, 98, 51
35, 7, 98
11, 5, 99
6, 98, 51
6, 41, 95
27, 6, 98
3, 97, 16
0, 31, 96
0, 18, 98
6, 95, 31
89, 94, 41
53, 41, 90
81, 91, 34
73, 17, 91
54, 61, 41
1, 89, 92
93, 41, 49
61, 39, 94
36, 84, 89
35, 84, 83
84, 27, 89
87, 79, 32
87, 77, 17
84, 1, 86
86, 81, 30
77, 86, 16
84, 84, 33
83, 82, 32
93, 38, 72
34, 58, 92
56, 38, 91
89, 40, 37
39, 87, 43
78, 93, 12
80, 83, 40
40, 78, 66
81, 30, 79
81, 73, 39
40, 72, 77
70, 40, 68
72, 88, 38
88, 54, 38
40, 65, 85
80, 37, 64
39, 46, 85
43, 78, 38
44, 41, 74
59, 43, 41
40, 71, 61
90, 37, 38
76, 40, 59
41, 76, 40
40, 59, 41
39, 58, 74
39, 66, 45
37, 74, 57
64, 54, 37
58, 39, 60
37, 62, 58
53, 35, 54
47, 36, 61
65, 39, 44
